Resting_trials.thisRepN,Resting_trials.thisTrialN,Resting_trials.thisN,Resting_trials.thisIndex,Anweisung,Instruction_trials,sound_instruct.started,sound_instruct.stopped,text_instruct.started,text_instruct.stopped,key_resp_instruct.keys,key_resp_instruct.rt,key_resp_instruct.started,key_resp_instruct.stopped,sound_start_recording.started,sound_start_recording.stopped,participant,condition,language,parellel port,date,expName,psychopyVersion,frameRate,
,,,,,,15.05571466172114,None,15.058853999944404,62.06257899990305,space,3.469525200081989,62.05243249994237,None,,,1,1,English,03F8,2022-05-20_13h49.07.913,Ruhe_EEG,2022.1.3,612.0550331015278,
,,,,,,,,,,,,,,65.52648475999013,None,,,,,,,,,
