Anweisung,Instruction_trials,Resting_trials.thisRepN,Resting_trials.thisTrialN,Resting_trials.thisN,Resting_trials.thisIndex,sound_instruct.started,sound_instruct.stopped,text_instruct.started,text_instruct.stopped,key_resp_instruct.keys,key_resp_instruct.rt,key_resp_instruct.started,key_resp_instruct.stopped,sound_start_recording.started,sound_start_recording.stopped,sound_trial.started,sound_trial.stopped,fixation_cross.started,fixation_cross.stopped,sound_end_recording.started,sound_end_recording.stopped,participant,language,parellel port,date,expName,psychopyVersion,frameRate,
,,,,,,16.069291098299438,None,16.072531800018623,None,space,0.5911956999916583,56.06556909997016,None,,,,,,,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\auf.wav,Instruction_close.wav,0,0,0,0,,,,,,,,,56.66803640001453,None,59.921580699970946,None,59.92196900001727,None,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\zu.wav,Instruction_open.wav,0,1,1,1,,,,,,,,,,,122.92477439998183,None,122.9258774999762,122.9258774999762,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\zu_lassen.wav,Instruction_leave_open.wav,0,2,2,2,,,,,,,,,,,185.9279013000429,None,185.9282508000033,185.9282508000033,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\auf.wav,Instruction_close.wav,0,3,3,3,,,,,,,,,,,248.93197549998297,None,248.93384720000904,248.93384720000904,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\zu.wav,Instruction_open.wav,0,4,4,4,,,,,,,,,,,311.9336530999979,None,311.9363990999991,311.9363990999991,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\auf.wav,Instruction_close.wav,0,5,5,5,,,,,,,,,,,374.93901530003643,None,374.9393227000255,374.9393227000255,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\auf_lassen.wav,Instruction_leave_closed.wav,0,6,6,6,,,,,,,,,,,437.94174740000165,None,437.94211810000706,437.94211810000706,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
audio\zu.wav,Instruction_open.wav,0,7,7,7,,,,,,,,,,,500.9454504000256,None,500.9465205000015,500.9465205000015,,,1,English,03F8,2022-05-20_15h00.18.859,Resting_EEG,2022.1.3,533.840124777099,
,,,,,,,,,,,,,,,,,,,,563.9509624999714,None,,,,,,,,
